LON,LAT,EDO,CLAVE,ESTACION,ene-25
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0.0
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",0.4
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",1.2
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",0.5
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",200.2
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",293.3
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",26.2
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",203.0
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",13.3
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",91.2
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",0.4
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",93.2
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",22.0
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",0.0
-93.273056,17.285833,CHIS,FCOLEONCFE,"Francisco León, Chis. CFE*",283.4
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",2.5
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",0.4
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",8.0
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",9.7
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",3.0
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",399.1
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",95.7
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",0.0
-92.243333,14.99,CHIS,TAMCP,"Malpaso 2, Chis.",2.5
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.2
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",31.5
-92.673889,17.185556,CHIS,MOJOSTIC,"Mojostic, Chis. SGT*",9.4
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",1.3
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",0.4
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",76.4
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.0
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",55.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",0.1
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0.0
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",207.4
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",2.6
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",1.8
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",0.1
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",3.8
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",1.0
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.0
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",14.1
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",100.0
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",1.9
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",243.5
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0.4
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",43.5
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",46.2
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0.0
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",416.9
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",30.8
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",283.9
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",6.8
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",0.0
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",6.2
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",399.1
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0.0
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",0.0
-93.5375,17.283333,CHIS,TZICP,"Tzimbac, Chis.",273.3
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",33.1
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",49.0
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",63.2
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",10.0
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",8.0
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",0.0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0.0
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",2.8
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",21.0
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",0.0
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",0.0
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",7.0
-103.266667,25.766667,COAH,MADCL,"Madero, Coah.",0.0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",7.1
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",15.2
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",1.7
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",0.0
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",3.0
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",6.0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",3.8
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0.0
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0.0
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",0.0
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",4.3
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0.5
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",9.0
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",3.5
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",0.0
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",12.7
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0.4
-103.804167,19.2125,COL,CQMCM,"Coquimatlán, Col.",13.1
-103.6,19.325,COL,CUACM,"Cuauhtémoc, Col.",5.5
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",6.2
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",3.0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",3.4
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",6.4
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",6.4
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",6.7
-103.884444,19.111389,COL,DJLCM,"P. deriv. Gregorio T. Q. Jala, Col.",5.6
-103.8125,19.3275,COL,PNTCM,"P. deriv. Peñitas, Col.",9.7
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",1.5
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",13.0
-103.867778,18.911667,COL,TCMCM,"Tecomán, Col.",23.0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",4.0
-99.235278,19.203333,DF,AJUSCOALTATEN,"Ajusco Alta Tensión, Cd. de Méx. SACMéx.",27.0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",21.8
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",2.5
-99.197222,19.388611,DF,CAJA6IPSAYP,"Caja 6 IP San Antonio y Periferico, Cd. de Méx. SACMéx.",11.8
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",13.5
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",7.0
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",9.0
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",44.3
-99.021667,19.256111,DF,CERRILLOS,"Cerrillos, Cd. de Méx. SACMéx.",10.8
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",9.8
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",9.3
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",20.3
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",4.0
-99.073056,19.288611,DF,ELMOLINOCDMX,"El Molino, Cd. de Méx. SACMéx.",9.8
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",12.0
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",26.0
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",7.8
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",4.5
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",11.3
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",13.2
-98.975,19.339167,DF,LACALDERA,"La Caldera Subestación eléctrica Santa Lucía, Méx. SACMéx.",11.0
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",7.0
-99.120556,19.150556,DF,MTULMIAC,"Manantial Tulmiac, Cd. de Méx. SACMéx.",43.3
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",5.3
-99.026944,19.187222,DF,MILPAALTADF,"Milpa Alta, Cd. de Méx. SACMéx.",19.0
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",14.3
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de Mécico Sur, Cd. de Méx.",6.8
-99.219444,19.285278,DF,PICACHOHOMUN,"Picacho Homun, Cd. de Méx. SACMéx.",8.0
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de Méx.",18.3
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",9.0
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",5.5
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",7.0
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SACMéx.",7.0
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",0.0
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",6.3
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",7.5
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",0.3
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",7.8
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",0.0
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",6.5
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",8.3
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",6.5
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",16.3
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",7.0
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",8.3
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",11.8
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",9.3
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",11.3
-99.209444,19.308611,DF,PICACHOAJUSCO,"Planta Pichacho Ajusco Periférico, Cd. de Méx. SACMéx.",8.3
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",9.3
-99.177222,19.328889,DF,POZOCU,"Pozo C.U., Cd. de Méx. SACMéx.",1.3
-99.129444,19.237222,DF,RECLUSORIOSUR,"Pozo reclusorio Sur, Cd. de Méx. SACMéx.",10.3
-99.235556,19.423611,DF,PRESAMIXCOAC,"Presa Mixcoac, Cd. de Méx. SACMéx.",19.3
-99.059444,19.225278,DF,PTARSPACTOPAN,"PTAR San Pedro Actopan, Cd. de Méx. SACMéx.",13.0
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",11.3
-99.17,19.4,DF,RCMDF,"Radio Comunicación, Cd. de Méx.",8.0
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",7.8
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de Méx.",8.3
-99.000556,19.275,DF,TEQUESQUITE,"San José Tlahuac RB Tequesquite, Cd. de Méx. SACMéx.",0.0
-99.077778,19.4775,DF,CRAEOCAVM,"San Juan de Aragón (CRAE OCAVM), Cd. de Méx. SACMéx.",7.8
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",12.5
-99.176389,19.206389,DF,SMTOPILEJO,"San Miguel Topilejo, Cd. de Méx. SACMéx.",20.5
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SACMéx.",11.3
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",9.8
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",23.5
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",22.0
-99.264444,19.359722,DF,TSLDF,"Santa Fe (Santa Lucía), Cd. de Méx.",14.3
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",7.5
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",7.8
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",11.8
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",14.0
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",6.8
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",15.3
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",7.3
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",11.8
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",19.5
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",8.3
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",7.0
-99.245833,19.274167,DF,ZACATON,"Zacatón, Cd. de Méx. SACMéx.",14.5
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",0.0
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",1.4
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",0.0
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",0.0
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",0.0
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",3.0
-104.480833,24.945,DGO,CTODR,"El Cuarto, Dgo.",0.0
-102.785,24.563056,DGO,TGRDR,"El Tigre, Dgo.",0.0
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",3.5
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",0.0
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",22.0
-104.9225,24.803889,DGO,GUADR,"Guatimapé, Dgo.",0.0
-105.219722,25.575556,DGO,INDDR,"Indé, Dgo.",0.0
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",0.0
-106.7,25.35,DGO,LHRDR,"La Huerta, Dgo.",97.0
-99.170556,19.286944,DGO,LAJOYACDMX,"La Joya, Cd. de Méx. SACMéx.",0.5
-104.246944,23.387778,DGO,MICHILIA,"La Michilia, Dgo. SMN*",1.6
-106.366667,26.133333,DGO,ROSDR,"La Rosilla, Dgo.",34.0
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",42.3
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",0.0
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",0.0
-105.0475,23.899167,DGO,NAVDR,"Navíos Viejos, Dgo.",50.8
-105.725,25.341111,DGO,TLHDR,"Observatorio de Tepehuanes, Dgo.",10.4
-104.656667,24.203889,DGO,PAGDR,"Peña del Aguila, Dgo.",3.8
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",10.3
-104.558333,25.181944,DGO,RDODR,"Rodeo, Dgo.",0.0
-105.443056,25.225,DGO,SACDR,"Salomé Acosta, Dgo.",0.0
-105.560833,26.436667,DGO,SGBDR,"San Gabriel, Dgo.",3.0
-102.778056,24.630556,DGO,SJGDR,"San Juan de Guadalupe, Dgo.",0.0
-104.276944,25.085,DGO,SLCDR,"San Luis del Cordero, Dgo.",0.0
-104.2925,25.564167,DGO,SPGDR,"San Pedro del Gallo, Dgo.",0.0
-104.054444,23.623056,DGO,SELDR,"Santa Elena, Dgo.",37.0
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",7.5
-106.975,24.933333,DGO,TMZDR,"Tamazula, Dgo.",33.2
-103.441667,26.1125,DGO,THODR,"Tlahualilo, Dgo.",0.0
-103.979722,23.737778,DGO,VGCDR,"Vicente Guerrero, Dgo.",0.0
-104.928889,26.2425,DGO,VHGDR,"Villa Hidalgo, Dgo.",0.0
-99.906667,16.849722,GRO,ACAGR,"Acapulco, Gro.",63.5
-98.975278,17.719722,GRO,AHUGR,"Ahuacuotzingo, Gro.",15.6
-100.5175,18.075833,GRO,AFIGR,"Andrés Figueroa, Gro.",32.0
-99.104722,18.106944,GRO,ATENANGOCFE,"Atenango del Río, Gro. CFE*",20.6
-100.433333,17.210278,GRO,ATYGR,"Atoyac, Gro.",32.6
